run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.sft_steps,train.opsd_steps,train.sft_blocks_completed,train.opsd_blocks_completed,train.mean_batch_acc,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.seg_k,train.teacher_adapter,train.replay_ratio,train.replay_buffer_size,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,hook.teacher_adapter,hook.seg_k,hook.replay_buffer_size,active_adapter
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,0,task1549_wiqa_answer_generation_missing_step,50,25,25,1,1,0.44,0.1512343725329265,2.2359622347675328,0.0002,5.98,25,teacher,0.0,0,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,1,task766_craigslist_bargains_classification,50,25,25,1,1,0.84,0.1707086099591106,5.361852484407717,0.0002,2.0,25,teacher,0.0,0,default,0.6,0.3,0.6,0.55,0.5,0.0,2,0.6333333333333334,0.6333333333333334,0.6333333333333334,0.7149802624737183,0.0,0.3,0.55,0.55,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,2,task1714_convai3_sentence_generation,50,25,25,1,1,0.0,1.1690170204639434,4.018243624736314,0.0002,16.16,25,teacher,0.0,0,default,0.0,0.3,0.1,0.3666666666666667,0.1,0.04999999999999999,3,0.5741759729803209,0.6116909941909942,0.5704722692766172,0.589355308205194,0.0,0.3,0.3666666666666667,0.36666666666666664,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,3,task611_mutual_multi_turn_dialogue,50,25,25,1,1,0.34,0.44439304202795027,3.568910244230418,0.0002,2.0,25,teacher,0.0,0,default,0.6,0.3,0.6,0.4,0.19999999999999998,0.06666666666666665,4,0.5073511904761905,0.49420954045954046,0.5073511904761905,0.578661140444174,0.0,0.3,0.4,0.4,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,4,task927_yelp_negative_to_positive_style_transfer,200,100,100,4,4,0.0,1.392219335436821,2.94502532169389,0.00019999999999999933,13.01,25,teacher,0.0,0,default,0.0,0.0,0.0,0.04,0.45000000000000007,0.39999999999999997,5,0.14964382278208216,0.1571904484404484,0.14488638230589168,0.22395482106043554,0.0,0.0,0.04,0.025,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,5,task1500_dstc3_classification,50,25,25,1,1,0.76,0.17794800592353568,3.18958518515413,0.0002,3.14,25,teacher,0.0,0,default,1.0,0.35000000000000003,1.0,0.43333333333333335,0.13999999999999999,0.039999999999999994,6,0.41002202421378026,0.39891374058040724,0.40831009005740165,0.44614006620565333,0.0,0.35000000000000003,0.43333333333333335,0.28888888888888886,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,6,task459_matres_static_classification,50,25,25,1,1,0.66,0.1739638900128193,2.3995931841930407,0.0002,2.0,25,teacher,0.0,0,default,0.2,0.2571428571428572,0.2,0.3285714285714286,0.20000000000000004,0.11666666666666665,7,0.3423993279055557,0.3323609307359307,0.3394394401075192,0.4369551288477885,0.0,0.2571428571428572,0.3285714285714286,0.23,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,7,task379_agnews_topic_classification,50,25,25,1,1,0.7,0.21231611580587922,3.363217412981234,0.0002,2.32,25,teacher,0.0,0,default,0.6,0.2875,0.6,0.35000000000000003,0.18571428571428575,0.11428571428571428,8,0.34946537217283496,0.3389752040888404,0.34677456508371085,0.46133113113893226,0.0,0.2875,0.35000000000000003,0.2545454545454545,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,8,task1590_diplomacy_text_generation,50,25,25,1,1,0.0,1.6914078870415687,2.7024484157506405,0.0002,25.18,25,teacher,0.0,0,default,0.0,0.25555555555555554,0.0,0.3111111111111111,0.16250000000000003,0.09999999999999999,9,0.3322354803425979,0.3322206740269821,0.32946975910584014,0.4292732011562312,0.0,0.25555555555555554,0.3111111111111111,0.23333333333333334,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
v1_seg_opsd_k25_instrdialogpp_seed123_rerun,baseline,seg_opsd,9,task347_hybridqa_incorrect_answer_generation,50,25,25,1,1,0.16,1.0024304515123368,5.560630666597309,0.0002,2.48,25,teacher,0.0,0,default,0.0,0.22000000000000003,0.0,0.27,0.17777777777777778,0.12222222222222223,10,0.2861577885628229,0.2794283243152022,0.28487350762636804,0.411198184920254,0.0,0.22000000000000003,0.27,0.2076923076923077,0,0.0,0.0,0.0,0.0,default,teacher,25,0,default
