run_id,mode,baseline_name,segment_id,segment_name,train.batches,train.train.loss,train.grad_norm,train.lr,train.rollout_mean_tokens,train.divergence,train.beta,train.teacher_format_constraint,train.active_adapter,eval.current_score,eval.seen_avg_score,eval.current_task_aware_score,eval.seen_avg_task_aware_score,eval.forgetting,eval.task_aware_forgetting,eval.num_seen_segments,eval.token_f1_mean,eval.lcs_overlap_mean,eval.rouge_l_mean,eval.bleu_mean,eval.slot_error_rate,eval.anytime_score,eval.anytime_task_aware_score,eval.task_aware_score_mean,routing.num_routed,routing.oracle_agreement_rate,routing.decision_confidence_mean,routing.decision_entropy_mean,routing.oracle_margin_mean,hook.active_adapter,active_adapter
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,0,task1549_wiqa_answer_generation_missing_step,25,0.047133729103952644,0.7115096071572201,0.00019999999999999998,6.68,jsd,0.5,True,default,0.5,0.5,0.5,0.5,0.0,0.0,1,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8149802624737182,0.0,0.5,0.5,0.5,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,1,task766_craigslist_bargains_classification,25,0.09492367597296834,0.5970563413251384,0.00019999999999999998,2.34,jsd,0.5,True,default,0.6,0.3,0.6,0.55,0.5,0.0,2,0.6333333333333334,0.6333333333333334,0.6333333333333334,0.7149802624737183,0.0,0.3,0.55,0.55,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,2,task1714_convai3_sentence_generation,25,0.21176554679870604,0.9388419597782499,0.00019999999999999998,16.58,jsd,0.5,True,default,0.0,0.19999999999999998,0.1,0.4000000000000001,0.25,0.0,3,0.5216955636955637,0.5336386761386761,0.5178860398860399,0.5413641078260717,0.0,0.19999999999999998,0.4000000000000001,0.4,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,3,task611_mutual_multi_turn_dialogue,25,0.07809930093586445,0.4691814685692193,0.00019999999999999998,31.2,jsd,0.5,True,default,0.0,0.3,0.1,0.325,0.0,0.03333333333333333,4,0.4364306746109815,0.46363684926184917,0.4309894981403932,0.46721417794492537,0.0,0.3,0.325,0.325,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,4,task927_yelp_negative_to_positive_style_transfer,100,0.09646517623215914,0.5560137257995134,0.0001999999999999999,14.42,jsd,0.5,True,default,0.0,0.25999999999999995,0.0,0.27999999999999997,0.0,0.025,5,0.3105622286783277,0.32339105849216127,0.3085946360857351,0.3270413469979637,0.0,0.25999999999999995,0.27999999999999997,0.175,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,5,task1500_dstc3_classification,25,0.06068472702056169,0.7511218286387005,0.00019999999999999998,8.9,jsd,0.5,True,default,0.4,0.21666666666666667,0.4,0.2333333333333333,0.07999999999999999,0.09999999999999998,6,0.3135721685224804,0.3483215395715395,0.3103236619513931,0.34180387998256617,0.0,0.21666666666666667,0.2333333333333333,0.15555555555555556,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,6,task459_matres_static_classification,25,0.02393389178439975,0.16220698705999964,0.00019999999999999998,2.0,jsd,0.5,True,default,0.2,0.2,0.2,0.21428571428571427,0.08333333333333331,0.09999999999999998,7,0.2838631358975254,0.2981956793206793,0.28099873924280616,0.36144670667915024,0.0,0.2,0.21428571428571427,0.15,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,7,task379_agnews_topic_classification,25,0.07150366575457155,1.0025275155807571,0.00019999999999999998,3.12,jsd,0.5,True,default,0.5,0.275,0.5,0.3375,0.08571428571428572,0.04285714285714285,8,0.32743507204359357,0.3306032551821321,0.3202698059018348,0.41484460825178243,0.0,0.275,0.3375,0.24545454545454545,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,8,task1590_diplomacy_text_generation,25,0.09328695029020309,0.7089890668049342,0.00019999999999999998,23.42,jsd,0.5,True,default,0.0,0.23333333333333328,0.0,0.25555555555555554,0.1,0.09999999999999999,9,0.29876292097441304,0.30578889477109283,0.29520450193796627,0.3673887986720414,0.0,0.23333333333333328,0.25555555555555554,0.19166666666666668,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,9,task347_hybridqa_incorrect_answer_generation,25,0.15125956177711486,1.4149980248386032,0.00019999999999999998,7.58,jsd,0.5,True,default,0.0,0.20999999999999996,0.0,0.27,0.1,0.05555555555555555,10,0.2776117917743175,0.2835695716854921,0.2745690975292772,0.3640963727273577,0.0,0.20999999999999996,0.27,0.2076923076923077,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,10,task639_multi_woz_user_utterance_generation,25,0.11319666147232056,0.5966474415177312,0.00019999999999999998,13.38,jsd,0.5,True,default,0.0,0.16363636363636364,0.0,0.22727272727272727,0.12000000000000002,0.08,11,0.24377879745040257,0.24305817999509952,0.24120707300711186,0.32063596329617544,0.0,0.16363636363636364,0.22727272727272727,0.17857142857142858,0,0.0,0.0,0.0,0.0,default,default
20260825_195501_v1_teacher_enhance_opsd_instrdialogpp,baseline,opsd,11,task1360_numer_sense_multiple_choice_qa_generation,25,0.2234756326675415,1.5328297015741754,0.00019999999999999998,3.24,jsd,0.5,True,default,0.3,0.2083333333333333,0.6,0.2833333333333334,0.08181818181818182,0.05454545454545454,12,0.2814220893518745,0.2833137989461519,0.2767770543132052,0.39597937809511785,0.0,0.2083333333333333,0.2833333333333334,0.22666666666666666,0,0.0,0.0,0.0,0.0,default,default
